id,tripId,name,name_original,category,description_he,address,lat,lng,rating,rating_count,opening_hours,cost,estimated_duration,website,google_maps_link,placeId,notes
4bdee9e3-b444-4819-af20-34f013319461,b389876f-9a01-4dda-b3a5-6b673a789468,Casino Baden-Baden,Casino Baden-Baden – קזינו מ-1824,activity,"קזינו היסטורי ומפואר משנת 1824, מהיפים באירופה – אולמות בסגנון ורסאי, רולטה ובלאק ג'ק. גיל 21+, נדרש ז'קט.","Kaiserallee 1, 76530 Baden-Baden, Germany",48.7602042,8.2367283,4.5,5441,א'-ה': 15:00–2:00 | ו'-שבת: 15:00–3:00,"כניסה ~5€, סיור מודרך ~10€ (קוד לבוש: ז'קט לגברים)",1.5–3 שעות,https://www.casino-baden-baden.de,https://www.google.com/maps/place/?q=place_id:ChIJr0JlJ_7mC0ERYfOySvK-tEk,ChIJr0JlJ_7mC0ERYfOySvK-tEk,
fd2304d9-0d45-4e06-b58c-50252ec57c3a,b389876f-9a01-4dda-b3a5-6b673a789468,Belchen,Belchen,nature,"פסגה בגובה 1,414 מ' ביער השחור עם תצפית 360° מרהיבה עד האלפים והווגזים. עלייה ברכבל או בהליכה, מסלולים יפים בפסגה.","Belchen, 79244 Schönenberg, Germany",47.8225,7.8330556,4.8,372,פתוח 24/7 (רכבל עד ~17:00),חינם (רכבל הלוך-חזור ~11€),2–4 שעות,https://www.belchen-seilbahn.de,https://www.google.com/maps/place/?q=place_id:ChIJC3-CTYUAkUcRQFBVzeNAEzc,ChIJC3-CTYUAkUcRQFBVzeNAEzc,
a2167e48-9692-4c62-818b-ba3703f598fe,b389876f-9a01-4dda-b3a5-6b673a789468,Rothaus Brauerei (Zäpfle-Welt),Rothaus Brauerei – מבשלת הממלכה,activity,"מבשלת הבירה הממלכתית של באדן משנת 1791, ביתה של בירת Tannenzäpfle המפורסמת. מרכז מבקרים, מוזיאון וטעימות בלב היער השחור.","Rothaus 1, 79865 Grafenhausen, Germany",47.7948,8.2236,4.4,1500,מוזיאון/מרכז מבקרים: ~10:00–17:00 (סיורים בתיאום),"מוזיאון ~5–10€ כולל טעימת בירה, סיור מודרך ~12€",1–2 שעות,https://www.rothaus.de,https://www.google.com/maps/place/?q=place_id:ChIJXbD7am_1kEcR3fRIiE5BJGQ,ChIJXbD7am_1kEcR3fRIiE5BJGQ,
2b48c6c4-ece2-441f-9c5e-2b15831c60ef,b389876f-9a01-4dda-b3a5-6b673a789468,Allerheiligen-Wasserfälle,מפלי Allerheiligen + חורבות מנזר,nature,"מפלים יפהפיים במדרגות סלע לצד חורבות מנזר גותי מהמאה ה-12. מסלול מעגלי קל-בינוני עם הרבה מדרגות, קיוסק ומסעדה בחורבות.","Allerheiligen, 77728 Oppenau, Germany",48.5293849,8.1882755,4.7,5618,פתוח 24/7,חינם (חניה חינם),1.5–2 שעות,https://www.oppenau.de,https://www.google.com/maps/place/?q=place_id:ChIJa5UjhlYpl0cR9-6SJx-6THc,ChIJa5UjhlYpl0cR9-6SJx-6THc,
1b8d12cb-910a-416e-8451-a8220d4a606c,b389876f-9a01-4dda-b3a5-6b673a789468,Wieskirche (Pilgrimage Church of Wies),ויסקירכה – כנסיית מורשת UNESCO,culture,"כנסיית עלייה לרגל בסגנון רוקוקו, אתר מורשת עולמית של אונסק""ו על הדרך הרומנטית – פנים עוצר נשימה של סטוקו וציורי תקרה.","Wies 12, 86989 Steingaden, Germany",47.6805535,10.9004346,4.7,8063,קיץ: 8:00–20:00 (חורף מוקדם יותר),כניסה חינם (חניה ~3€),30–60 דקות,https://www.wieskirche.de,https://www.google.com/maps/place/?q=place_id:ChIJy-Zq9QBRnEcRFvIdY-AP8Vg,ChIJy-Zq9QBRnEcRFvIdY-AP8Vg,
0020ba56-914f-4186-8d57-8e2ba4c84d91,b389876f-9a01-4dda-b3a5-6b673a789468,TeamSport E-Karting Kart Palast Funpark München,TeamSport E-Karting Kart Palast,activity,"קומפלקס קארטינג חשמלי מקורה ענק ליד מינכן – מסלול רב-מפלסי, באולינג, ביליארד, מיני-גולף, משחקיה ומסעדה. מתאים לקבוצות.","Gadastraße 9, 85232 Bergkirchen-Feldgeding, Germany",48.23605,11.3511036,4.3,7031,א': 9:00–23:00 | ב'-ה': 10:00–23:00 | ו'-שבת: 10:00–24:00,~25–35€ למקצה קארטינג,1.5–3 שעות,https://www.kartpalast.de,https://www.google.com/maps/place/?q=place_id:ChIJnUKNj59-nkcRECQl2vT94hw,ChIJnUKNj59-nkcRECQl2vT94hw,
e872f214-03a8-4e29-ab60-a488fa138f5a,b389876f-9a01-4dda-b3a5-6b673a789468,Paulaner Brauerei (Munich brewery),Paulaner Brewery / Paulaner Brauerei,activity,מפעל הייצור המודרני של פאולנר בפאתי מינכן. שימו לב: זהו אתר תעשייתי – סיורים בתיאום מראש בלבד. לחוויית בירה עדיף Paulaner am Nockherberg בעיר.,"Mälzereistraße 31, 81249 München, Germany",48.1766087,11.436557,3.6,550,ב'-ו': 6:00–22:00 | שבת-א': סגור,סיור מבשלה ~15–25€ (בהרשמה מראש),1.5–2 שעות,https://www.paulaner-brauerei-gruppe.com,https://www.google.com/maps/place/?q=place_id:ChIJL_1vdD14nkcReAlKCP2mQ20,ChIJL_1vdD14nkcReAlKCP2mQ20,שקלו להחליף ב-Paulaner am Nockherberg (Hochstraße 77) – בית הבירה והביירגארטן של פאולנר.
1063d1f7-aa06-45a7-b511-d9b63714122f,b389876f-9a01-4dda-b3a5-6b673a789468,CA-BA-LU Bar-Restaurant,CA-BA-LU Bar-Restaurant,restaurant,"בר-מסעדת המבורגרים מצוינת ליד הגן האנגלי – בשר איכותי, תוספות ביתיות וג'ין וניל של הבית. תחנה מושלמת אחרי צפייה בגולשי האייסבאך.","Thierschpl. 5, 80538 München, Germany",48.1395699,11.5891154,4.5,792,"ב'-ה': 12:00–14:00, 17:30–1:00 | ו'-שבת: 17:30–1:00 | א': סגור",€€ (~15–25€ למנה),1–1.5 שעות,https://www.cabalu.de,https://www.google.com/maps/place/?q=place_id:ChIJEy5cX491nkcRgtfYR5S0pqc,ChIJEy5cX491nkcRgtfYR5S0pqc,
ed33644c-19e6-477f-93e5-54aca1e0a617,b389876f-9a01-4dda-b3a5-6b673a789468,Feldberg (summit),Feldberg,nature,"ההר הגבוה ביער השחור (1,493 מ') – תצפיות לאלפים, מסלול ה-Feldbergsteig המדורג, רכבל ומגדל תצפית. בחורף – אתר סקי.","Feldberg, 79868 Feldberg, Germany",47.873974,8.0047312,4.7,1376,פתוח 24/7,חינם (רכבל Feldbergbahn ~14€ הלוך-חזור),2–4 שעות,https://www.hochschwarzwald.de,https://www.google.com/maps/place/?q=place_id:ChIJlXMQllH5kEcRvoDuXVpQ8Ng,ChIJlXMQllH5kEcRvoDuXVpQ8Ng,
3e6a24b1-33a4-49aa-ae8b-418fa3235ccd,b389876f-9a01-4dda-b3a5-6b673a789468,Ravenna Gorge (Ravennaschlucht),קניון מקסים רוואנה,nature,"קניון רוואנה – ערוץ נחל ציורי עם מפלונים, גשרי עץ וגשר רכבת אבן מרשים. אחד ממסלולי ההליכה האהובים ביער השחור, קל-בינוני.","Ravennaschlucht, 79874 Breitnau, Germany",47.9175824,8.0745554,4.7,3952,פתוח 24/7,חינם (חניה בתשלום ליד Hofgut Sternen),1.5–3 שעות,https://www.hochschwarzwald.de,https://www.google.com/maps/place/?q=place_id:ChIJ42-M7PT6kEcRojnj-mDABGw,ChIJ42-M7PT6kEcRojnj-mDABGw,
